""	"LMD_S14.vs.total_S14"
"AC186588.3_FG002"	-0.542660799110214
"AC186589.3_FG003"	0
"AC186589.3_FG007"	0
"AC186590.3_FG005"	0
"AC186590.3_FG006"	0
"AC186592.3_FG002"	-1.78482773548263
"AC186592.3_FG003"	0
"AC186601.4_FG003"	-2.18578571685146
"AC186602.4_FG003"	0
"AC186603.6_FG003"	-3.67623659729055
"AC186604.4_FG003"	-2.18543098880007
"AC186606.4_FG003"	0
"AC186607.3_FG001"	0
"AC186607.3_FG003"	-7.31662972725694
"AC186611.4_FG005"	0
"AC186612.3_FG001"	0
"AC186613.4_FG003"	0
"AC186614.3_FG002"	0
"AC186619.3_FG001"	0
"AC186620.3_FG011"	-2.18578571685146
"AC186623.5_FG003"	0
"AC186626.4_FG004"	0
"AC186626.4_FG005"	0
"AC186627.4_FG002"	0
"AC186627.4_FG005"	0
"AC186645.3_FG002"	0
"AC186647.3_FG001"	0
"AC186648.3_FG004"	0
"AC186653.4_FG003"	0
"AC186653.4_FG005"	0
"AC186656.4_FG004"	-2.18543396626891
"AC186656.4_FG012"	0
"AC186657.3_FG004"	0
"AC186661.3_FG004"	0
"AC186663.3_FG002"	0
"AC186663.3_FG006"	0
"AC186667.3_FG007"	0
"AC186667.3_FG008"	0
"AC186669.3_FG002"	1.64250003146779
"AC186680.3_FG005"	0
"AC186680.3_FG006"	0
"AC186683.3_FG004"	0
"AC186684.4_FG001"	-4.41458738896159
"AC186684.4_FG005"	0
"AC186689.3_FG001"	0
"AC186691.4_FG003"	0
"AC186691.4_FG006"	0
"AC186691.4_FG009"	-3.23526997902934
"AC186743.4_FG003"	0
"AC186743.4_FG011"	0
"AC186744.4_FG002"	0
"AC186780.4_FG001"	1.71681173665295
"AC186781.4_FG006"	0
"AC186782.4_FG001"	0
"AC186782.4_FG003"	0
"AC186783.3_FG002"	0
"AC186783.3_FG003"	0
"AC186785.4_FG002"	0
"AC186789.4_FG001"	0
"AC186792.3_FG002"	0
"AC186798.2_FG002"	0
"AC186800.3_FG002"	0
"AC186800.3_FG005"	1.69706231090085
"AC186802.4_FG002"	0
"AC186805.5_FG005"	0
"AC186807.4_FG002"	0
"AC186808.4_FG004"	0
"AC186809.3_FG003"	0
"AC186811.3_FG003"	0
"AC186815.3_FG002"	0
"AC186815.3_FG003"	0
"AC186818.3_FG003"	0
"AC186819.3_FG004"	0
"AC186828.3_FG001"	0
"AC186831.3_FG002"	0
"AC186845.4_FG009"	0
"AC186862.2_FG001"	0
"AC186884.3_FG005"	-1.58571391597819
"AC186885.3_FG003"	0
"AC186887.4_FG002"	0
