""	"Tausta_2014.M.Section_4.1"	"Tausta_2014.M.Section_4.2"	"Tausta_2014.M.Section_9.1"	"Tausta_2014.M.Section_9.2"	"Tausta_2014.M.Section_14.1"	"Tausta_2014.M.Section_14.2"	"Tausta_2014.BS.Section_4.1"	"Tausta_2014.BS.Section_4.2"	"Tausta_2014.BS.Section_9.1"	"Tausta_2014.BS.Section_9.2"	"Tausta_2014.BS.Section_14.1"	"Tausta_2014.BS.Section_14.2"
"AC183939.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183939.3_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183943.3_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183944.4_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183944.4_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183950.2_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183950.2_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183950.2_FG004"	1	1	0	0	1	1	0	0	0	0	2	6
"AC183950.2_FG005"	0	0	0	0	0	0	0	0	1	0	0	0
"AC183956.3_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183968.2_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183969.3_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183969.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183969.3_FG008"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183974.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184048.4_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184048.4_FG011"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184048.4_FG013"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184050.2_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184050.2_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184112.4_FG010"	0	0	0	0	0	0	1	0	0	1	0	0
"AC184113.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184116.3_FG001"	0	0	0	0	0	0	1	0	0	0	0	1
"AC184119.3_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184127.3_FG003"	0	1	1	0	0	0	0	0	0	0	1	0
"AC184129.2_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184130.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184130.4_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184130.4_FG012"	0	0	0	0	0	3	0	0	0	0	0	0
"AC184131.5_FG003"	0	0	0	0	0	0	0	0	1	0	0	0
"AC184131.5_FG010"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184132.3_FG007"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184133.3_FG001"	24	19	70	69	1	6	22	19	37	42	2	5
"AC184133.3_FG004"	0	0	0	0	0	0	0	0	1	0	0	0
"AC184138.4_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184164.2_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184164.2_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184164.2_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184165.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184168.3_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184169.3_FG001"	0	0	0	0	0	1	0	0	0	0	0	0
"AC184170.4_FG002"	0	0	0	1	0	0	0	0	0	0	0	0
"AC184171.4_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
