""	"BS.S4.vs.M.S4"	"BS.S9.vs.M.S9"	"BS.S14.vs.M.S14"
"AC185111.3_FG003"	0	0	0
"AC185111.3_FG004"	0	0	0
"AC185112.2_FG002"	0	0	0
"AC185115.2_FG005"	0	1.7042837093729	0
"AC185121.3_FG001"	0	0	0
"AC185122.3_FG008"	0	0	0
"AC185122.3_FG009"	0	0	0
"AC185126.3_FG002"	0	0	0
"AC185126.3_FG006"	0	0	0
"AC185128.2_FG002"	0	0	0
"AC185130.2_FG004"	0	0	0
"AC185130.2_FG005"	0	0	0
"AC185213.3_FG003"	0	0	0
"AC185216.4_FG002"	0	0	0
"AC185217.3_FG002"	0	0	0
"AC185217.3_FG003"	0	0	0
"AC185217.3_FG004"	0	0	0
"AC185217.3_FG007"	0	0	0
"AC185218.4_FG004"	3.09058468376279	0	0
"AC185218.4_FG007"	0	0	0
"AC185222.5_FG001"	0	0	0
"AC185222.5_FG002"	0	0	0
"AC185223.3_FG005"	0	0	0
"AC185223.3_FG007"	3.11211491784164	0	0
"AC185224.4_FG005"	0	0	0
"AC185226.4_FG001"	3.07157467776773	0.0665734913892779	-2.65872000288837
"AC185226.4_FG006"	3.09428422907868	2.98704287231279	0
"AC185226.4_FG007"	0	0	0
"AC185228.4_FG002"	0	0	0
"AC185233.3_FG012"	1.31038293991053	0	0
"AC185234.4_FG001"	3.09041643266635	-1.70743334691366	0
"AC185234.4_FG005"	0	3.30952714534572	0
"AC185251.3_FG002"	0	0	0
"AC185251.3_FG005"	0	0	0
"AC185252.4_FG002"	0	0	0
"AC185254.4_FG002"	0	0	0
"AC185254.4_FG004"	0	0	0
"AC185254.4_FG005"	0	0	0
"AC185256.3_FG002"	0	0	0
"AC185256.3_FG003"	-0.673659544828213	1.95701451785414	0
"AC185257.3_FG002"	0	0	0
"AC185260.3_FG003"	0	0	0
"AC185261.4_FG002"	0	0	0
"AC185262.2_FG003"	0	0	0
"AC185265.3_FG003"	0	0	0
"AC185269.4_FG003"	0	0	0
"AC185272.3_FG005"	0	0	0
"AC185276.2_FG003"	0	0	-2.67434797900699
"AC185276.2_FG004"	0	0	-0.787589772223645
"AC185276.2_FG006"	0	0	0
"AC185277.2_FG001"	0	0	0
"AC185279.3_FG002"	0	0	0
"AC185281.5_FG006"	0	0	0
"AC185286.3_FG012"	0	0	0
"AC185287.3_FG001"	0	0	0
"AC185296.2_FG006"	0	0	0
"AC185299.3_FG002"	1.31057885224015	-1.71677222193208	0
"AC185300.4_FG002"	0	0	0
"AC185301.3_FG001"	0	0	0
"AC185301.3_FG005"	0	0	0
"AC185304.4_FG008"	3.26648945895465	-0.00845793849246484	-0.481013386138429
"AC185304.4_FG010"	0	2.4763564770562	0
"AC185305.3_FG003"	0	0	0
"AC185306.4_FG004"	0	0	0
"AC185309.5_FG001"	0	0	0
"AC185310.4_FG002"	0	0	0
"AC185313.5_FG001"	0	0	0
"AC185313.5_FG006"	-0.178465247803878	0	0
"AC185314.4_FG008"	0	0	-4.10328025007998
"AC185321.3_FG003"	0	0	0
"AC185322.3_FG008"	0	0	0
"AC185322.3_FG010"	0	0	0
"AC185322.3_FG011"	0	0	0
"AC185323.3_FG001"	0	0	0
"AC185323.3_FG002"	0	0	0
"AC185411.3_FG003"	0	0	0
"AC185413.3_FG002"	0	0	0
"AC185413.3_FG005"	0	0	0
"AC185414.3_FG002"	0	0	0
"AC185414.3_FG003"	0	0.00184244253464289	-4.79586025296799
"AC185415.3_FG005"	1.52743299352113	0.0175680318573371	-0.0620167625333762
"AC185418.3_FG006"	0	1.72457419206718	0
"AC185418.3_FG007"	3.11211491784164	0	0
"AC185421.3_FG003"	0	0	0
"AC185421.3_FG005"	0	0	0
"AC185422.3_FG005"	0	0	0
"AC185427.5_FG001"	0	0	0
"AC185427.5_FG004"	3.09058468376279	0	0
"AC185429.3_FG005"	0	0	0
"AC185430.3_FG003"	0	0	2.92634414030088
"AC185434.4_FG004"	0	-0.00331305289840933	0
"AC185436.3_FG004"	0	0	-2.67434797900699
