""	"BS.S4.vs.M.S4"	"BS.S9.vs.M.S9"	"BS.S14.vs.M.S14"
"AC185487.4_FG003"	1	1	1
"AC185489.3_FG001"	1	1	1
"AC185489.3_FG002"	1	1	1
"AC185490.4_FG001"	1	0.777211751604692	1
"AC185492.2_FG005"	1	1	1
"AC185498.3_FG007"	1	1	1
"AC185500.3_FG001"	1	0.61280566290148	0.304456151890419
"AC185500.3_FG004"	1	1	1
"AC185500.3_FG005"	1	1	1
"AC185501.3_FG001"	1	1	1
"AC185501.3_FG006"	0.996451447015187	0.777211751604692	1
"AC185504.4_FG001"	1	1	1
"AC185504.4_FG002"	1	0.777211751604692	1
"AC185504.4_FG006"	1	1	1
"AC185504.4_FG008"	1	1	1
"AC185504.4_FG009"	1	0.777211751604692	1
"AC185510.3_FG001"	1	1	1
"AC185514.3_FG007"	1	0.777211751604692	1
"AC185519.3_FG002"	1	1	1
"AC185522.2_FG001"	1	1	1
"AC185522.2_FG002"	1	1	0.93810199727452
"AC185530.2_FG003"	0.996451447015187	1	1
"AC185530.2_FG004"	1	1	1
"AC185530.2_FG005"	1	1	1
"AC185531.2_FG001"	1	1	1
"AC185586.4_FG003"	1	1	1
"AC185587.3_FG003"	1	1	1
"AC185588.2_FG002"	1	1	0.93810199727452
"AC185588.2_FG008"	1	1	1
"AC185591.4_FG017"	1	1	1
"AC185593.3_FG002"	1	1	1
"AC185593.3_FG003"	1	1	0.215129295356888
"AC185596.3_FG014"	1	1	1
"AC185601.3_FG007"	1	1	1
"AC185601.3_FG008"	1	1	1
"AC185602.3_FG004"	1	1	1
"AC185603.4_FG007"	1	1	1
"AC185604.3_FG002"	1	1	1
"AC185605.3_FG003"	1	1	1
"AC185605.3_FG004"	1	1	1
"AC185606.2_FG003"	1	1	1
"AC185608.3_FG001"	1	1	1
"AC185610.3_FG001"	1	1	1
"AC185610.3_FG003"	1	0.777211751604692	1
"AC185611.3_FG001"	1	1	1
"AC185611.3_FG004"	1	1	1
"AC185612.3_FG002"	1	0.777211751604692	1
"AC185612.3_FG006"	1	1	1
"AC185619.4_FG005"	1	1	1
"AC185623.4_FG010"	1	1	1
"AC185623.4_FG012"	0.996451447015187	1	1
"AC185625.4_FG004"	1	1	1
"AC185628.3_FG010"	1	1	1
"AC185630.3_FG002"	1	1	1
"AC185631.4_FG001"	1	1	1
"AC185632.3_FG001"	1	1	1
"AC185642.4_FG001"	1	1	1
"AC185642.4_FG006"	1	0.777211751604692	1
"AC185645.4_FG006"	1	1	1
"AC185648.3_FG001"	1	1	1
"AC185648.3_FG007"	1	1	1
"AC185649.2_FG003"	1	1	1
"AC185651.3_FG005"	1	1	1
"AC185654.3_FG006"	0.567816858194182	1	0.964006541939162
"AC185655.3_FG004"	1	1	1
"AC185655.3_FG005"	1	0.777211751604692	1
"AC185655.3_FG008"	1	1	1
"AC185655.3_FG010"	1	0.777211751604692	1
"AC185656.3_FG002"	1	1	1
"AC185660.3_FG003"	1	1	1
"AC185662.2_FG003"	1	1	1
"AC185665.3_FG004"	1	1	1
"AC185665.3_FG008"	1	1	1
"AC185667.3_FG007"	1	1	1
"AC185667.3_FG008"	1	1	1
"AC185668.3_FG001"	1	1	1
"AC185668.3_FG004"	1	1	1
"AC186009.3_FG001"	1	1	1
"AC186013.3_FG001"	0.996451447015187	1	1
"AC186013.3_FG002"	1	1	1
"AC186015.3_FG005"	1	1	1
"AC186020.3_FG003"	1	0.777211751604692	1
"AC186021.3_FG001"	1	1	1
"AC186023.2_FG004"	1	1	1
"AC186026.3_FG003"	1	1	1
"AC186026.3_FG004"	1	1	1
"AC186028.3_FG002"	1	1	1
"AC186028.3_FG003"	1	1	1
"AC186030.3_FG003"	1	0.777211751604692	1
"AC186143.3_FG001"	1	1	1
"AC186143.3_FG008"	1	1	1
"AC186145.3_FG002"	1	1	1
"AC186146.3_FG002"	1	1	1
"AC186147.3_FG008"	1	1	1
"AC186156.3_FG004"	1	1	1
"AC186156.3_FG005"	1	1	0.93810199727452
"AC186159.3_FG005"	1	1	1
"AC186164.3_FG001"	1	0.777211751604692	1
"AC186165.2_FG002"	1	0.562154062702578	1
"AC186166.3_FG008"	1	1	1
"AC186166.3_FG015"	1	1	1
"AC186166.3_FG018"	1	1	1
"AC186189.3_FG004"	1	1	1
"AC186189.3_FG005"	1	1	1
"AC186195.4_FG001"	1	0.777211751604692	1
