""	"Li_2010.total.Section_1.1"	"Li_2010.total.Section_1.2"	"Li_2010.total.Section_4.1"	"Li_2010.total.Section_4.2"	"Li_2010.total.Section_9.1"	"Li_2010.total.Section_9.2"	"Li_2010.total.Section_14.1"	"Li_2010.total.Section_14.2"	"Li_2010.M.Section_14.1"	"Li_2010.M.Section_14.2"	"Li_2010.BS.Section_14.1"	"Li_2010.BS.Section_14.2"
"AC183758.4_FG007"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183782.3_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183783.4_FG004"	0	0	0	1	0	0	0	0	0	0	0	0
"AC183788.3_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183811.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183815.4_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183817.2_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183818.2_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183820.4_FG002"	0	0	0	0	1	0	0	0	0	0	0	0
"AC183822.3_FG001"	0	1	0	0	0	0	0	1	0	0	0	0
"AC183822.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183823.3_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183825.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183888.4_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183888.4_FG008"	0	0	0	1	0	0	0	0	0	0	0	0
"AC183895.3_FG001"	0	1	0	1	0	0	0	1	0	0	0	0
"AC183895.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183899.3_FG001"	0	1	0	0	5	1	2	5	0	0	0	0
"AC183900.3_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183901.2_FG010"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183907.3_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183907.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183912.3_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183914.3_FG002"	1	1	0	0	1	0	1	0	0	0	0	0
"AC183914.3_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183915.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183915.4_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183917.3_FG004"	0	0	0	0	3	2	7	8	13	2	18	26
"AC183926.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183926.3_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183927.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183927.3_FG004"	2	12	0	2	2	0	1	2	0	0	0	0
"AC183928.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183928.4_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183929.4_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183932.3_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183932.3_FG007"	143	360	17	39	4	1	1	3	0	0	1	0
"AC183933.2_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183938.4_FG004"	0	2	0	2	1	2	3	2	0	0	0	0
"AC183938.4_FG011"	0	0	0	0	2	0	0	0	0	0	0	0
"AC183938.4_FG014"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183939.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183939.3_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183943.3_FG001"	0	1	0	0	0	0	0	0	0	0	0	0
"AC183944.4_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183944.4_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183950.2_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183950.2_FG003"	1	0	0	0	0	0	0	0	0	0	0	0
"AC183950.2_FG004"	3	11	1	2	2	1	0	2	1	1	2	6
"AC183950.2_FG005"	2	26	5	4	7	4	3	14	0	0	0	0
"AC183956.3_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183968.2_FG001"	0	12	0	0	1	0	0	0	0	0	0	0
"AC183969.3_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183969.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183969.3_FG008"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183974.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184048.4_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184048.4_FG011"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184048.4_FG013"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184050.2_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184050.2_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184112.4_FG010"	3	7	0	0	0	0	0	0	0	0	0	0
"AC184113.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184116.3_FG001"	0	0	1	0	0	0	0	0	0	0	0	1
"AC184119.3_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184127.3_FG003"	0	0	0	1	0	1	2	0	0	0	1	0
"AC184129.2_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184130.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184130.4_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184130.4_FG012"	3	1	0	0	0	0	0	0	0	3	0	0
"AC184131.5_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184131.5_FG010"	0	0	0	0	1	0	0	0	0	0	0	0
"AC184132.3_FG007"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184133.3_FG001"	1	1	6	5	2	4	5	7	1	6	2	5
"AC184133.3_FG004"	0	0	0	1	0	0	0	0	0	0	0	0
"AC184138.4_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184164.2_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184164.2_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184164.2_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184165.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184168.3_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184169.3_FG001"	25	46	8	22	3	3	5	8	0	1	0	0
"AC184170.4_FG002"	0	1	0	0	0	0	1	0	0	0	0	0
"AC184171.4_FG002"	1	0	0	0	0	0	0	0	0	0	0	0
"AC184171.4_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184172.3_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184172.3_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC184691.2_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
