""	"BS.S5.vs.M.S5"	"BS.S4.vs.M.S4"	"BS.S3.vs.M.S3"	"BS.S2.vs.M.S2"	"BS.S1.vs.M.S1"
"AC184770.3_FG001"	1	1	1	0.840982438127983	1
"AC184771.4_FG003"	1	1	1	1	1
"AC184772.3_FG001"	1	1	1	1	1
"AC184774.4_FG002"	1	1	1	1	1
"AC184775.2_FG002"	1	1	1	1	1
"AC184776.3_FG003"	1	1	1	1	1
"AC184778.3_FG002"	1	1	1	1	1
"AC184780.3_FG004"	1	1	1	1	1
"AC184781.4_FG010"	1	1	1	1	1
"AC184782.3_FG004"	1	1	1	1	1
"AC184783.3_FG005"	1	1	1	1	1
"AC184787.2_FG002"	1	1	1	1	1
"AC184787.2_FG003"	1	1	1	1	1
"AC184788.2_FG001"	1	1	1	1	1
"AC184789.4_FG002"	1	1	1	1	1
"AC184790.3_FG003"	1	1	1	1	1
"AC184794.2_FG003"	1	1	1	1	1
"AC184831.3_FG003"	1	0.114116826916706	0.674307560740349	0.254363896889012	1
"AC184831.3_FG005"	1	1	1	1	1
"AC184831.3_FG008"	1	1	1	1	1
"AC184832.2_FG001"	1	1	1	0.552621135858383	0.828228302986862
"AC184832.2_FG002"	1	1	1	1	1
"AC184834.3_FG005"	1	1	1	0.156710624714899	1
"AC184834.3_FG007"	1	1	1	1	1
"AC184835.3_FG003"	1	1	1	1	1
"AC184836.3_FG002"	1	1	1	1	1
"AC184836.3_FG003"	1	1	1	1	1
"AC184845.4_FG004"	1	1	1	1	1
"AC184851.4_FG005"	1	1	1	1	1
"AC184854.4_FG001"	1	1	1	1	1
"AC184854.4_FG003"	1	1	1	0.257133290394863	1
"AC184856.3_FG002"	1	1	1	1	1
"AC184856.3_FG007"	1	1	1	1	1
"AC184857.2_FG006"	1	1	1	1	1
"AC184858.3_FG003"	1	1	1	1	1
"AC184859.3_FG001"	1	1	1	1	1
"AC184859.3_FG002"	1	1	1	1	1
"AC184865.4_FG003"	1	1	1	1	1
"AC184866.3_FG004"	1	1	1	1	1
"AC184866.3_FG005"	1	1	1	1	1
"AC184866.3_FG007"	1	1	1	1	1
"AC184868.2_FG005"	1	1	1	1	1
"AC184868.2_FG006"	1	1	1	1	1
"AC184871.2_FG002"	1	1	1	1	1
"AC184871.2_FG009"	1	1	1	1	1
"AC184873.4_FG001"	1	1	1	1	1
"AC185108.3_FG006"	1	1	1	1	1
"AC185108.3_FG007"	1	1	1	1	1
"AC185108.3_FG008"	0.868089471680872	1	1	0.916998488574887	1
"AC185108.3_FG010"	1	1	1	1	1
"AC185108.3_FG011"	1	1	1	1	1
"AC185111.3_FG003"	1	1	1	1	1
"AC185111.3_FG004"	1	1	1	1	1
"AC185112.2_FG002"	1	1	1	1	1
"AC185115.2_FG005"	1	1	1	1	1
"AC185121.3_FG001"	1	1	1	1	1
"AC185122.3_FG008"	1	1	1	1	1
"AC185122.3_FG009"	1	1	1	1	1
"AC185126.3_FG002"	1	1	1	1	1
"AC185126.3_FG006"	1	1	1	1	1
"AC185128.2_FG002"	1	1	1	1	1
"AC185130.2_FG004"	1	1	0.995720535434357	1	1
"AC185130.2_FG005"	1	1	1	1	1
"AC185213.3_FG003"	1	1	1	1	1
"AC185216.4_FG002"	1	1	1	1	1
"AC185217.3_FG002"	1	1	1	1	1
"AC185217.3_FG003"	1	1	1	1	1
"AC185217.3_FG004"	1	1	1	1	1
"AC185217.3_FG007"	1	1	1	1	1
"AC185218.4_FG004"	1	1	1	1	1
"AC185218.4_FG007"	1	1	1	1	1
"AC185222.5_FG001"	1	1	1	1	1
"AC185222.5_FG002"	1	1	1	1	1
"AC185223.3_FG005"	1	1	1	1	1
"AC185223.3_FG007"	1	1	1	1	1
"AC185224.4_FG005"	1	1	1	1	1
"AC185226.4_FG001"	1	1	1	0.397753221776876	1
"AC185226.4_FG006"	1	1	1	1	1
"AC185226.4_FG007"	1	1	1	1	1
"AC185228.4_FG002"	1	1	1	1	1
"AC185233.3_FG012"	1	1	1	0.282516419670034	1
"AC185234.4_FG001"	1	1	1	1	1
"AC185234.4_FG005"	1	1	1	1	1
"AC185251.3_FG002"	1	1	1	1	1
"AC185251.3_FG005"	1	1	1	1	1
"AC185252.4_FG002"	1	1	1	1	1
"AC185254.4_FG002"	0.244262627633839	1	1	1	1
"AC185254.4_FG004"	1	1	1	1	1
"AC185254.4_FG005"	1	1	1	0.762246791554695	1
"AC185256.3_FG002"	1	1	1	1	1
"AC185256.3_FG003"	1	1	1	1	1
"AC185257.3_FG002"	1	1	1	1	1
"AC185260.3_FG003"	1	1	1	1	1
"AC185261.4_FG002"	1	1	1	1	1
"AC185262.2_FG003"	1	1	1	1	1
"AC185265.3_FG003"	1	1	1	1	1
"AC185269.4_FG003"	1	1	1	1	1
"AC185272.3_FG005"	1	1	1	1	1
"AC185276.2_FG003"	1	1	1	1	0.824533451210932
"AC185276.2_FG004"	1	1	0.610519217125796	1	1
"AC185276.2_FG006"	1	1	1	1	1
"AC185277.2_FG001"	1	1	1	1	1
"AC185279.3_FG002"	1	1	1	1	1
"AC185281.5_FG006"	1	1	1	1	1
"AC185286.3_FG012"	1	1	1	1	1
"AC185287.3_FG001"	1	1	1	1	1
"AC185296.2_FG006"	1	1	1	1	1
"AC185299.3_FG002"	1	1	1	1	1
"AC185300.4_FG002"	1	1	1	1	1
"AC185301.3_FG001"	1	1	1	1	1
"AC185301.3_FG005"	1	1	1	1	1
"AC185304.4_FG008"	1	0.500609624727705	0.93729863237813	1	0.8532058675216
"AC185304.4_FG010"	1	0.13846445044743	1	1	0.851585039238875
"AC185305.3_FG003"	1	1	1	1	1
"AC185306.4_FG004"	1	1	1	1	1
"AC185309.5_FG001"	1	1	1	1	1
"AC185310.4_FG002"	1	1	1	1	1
"AC185313.5_FG001"	1	1	1	1	1
"AC185313.5_FG006"	1	1	1	1	1
