""	"LMD_S14.vs.total_S14"
"AC186590.3_FG005"	1
"AC186590.3_FG006"	1
"AC186592.3_FG002"	0.829018948422842
"AC186592.3_FG003"	1
"AC186601.4_FG003"	0.731526141194842
"AC186602.4_FG003"	1
"AC186603.6_FG003"	0.243904417018132
"AC186604.4_FG003"	0.731526141194842
"AC186606.4_FG003"	1
"AC186607.3_FG001"	1
"AC186607.3_FG003"	4.21935175566615e-08
"AC186611.4_FG005"	1
"AC186612.3_FG001"	1
"AC186613.4_FG003"	1
"AC186614.3_FG002"	1
"AC186619.3_FG001"	1
"AC186620.3_FG011"	0.731526141194842
"AC186623.5_FG003"	1
"AC186626.4_FG004"	1
"AC186626.4_FG005"	1
"AC186627.4_FG002"	1
"AC186627.4_FG005"	1
"AC186645.3_FG002"	1
"AC186647.3_FG001"	1
"AC186648.3_FG004"	1
"AC186653.4_FG003"	1
"AC186653.4_FG005"	1
"AC186656.4_FG004"	0.731526141194842
"AC186656.4_FG012"	1
"AC186657.3_FG004"	1
"AC186661.3_FG004"	1
"AC186663.3_FG002"	1
"AC186663.3_FG006"	1
"AC186667.3_FG007"	1
"AC186667.3_FG008"	1
"AC186669.3_FG002"	1
"AC186680.3_FG005"	1
"AC186680.3_FG006"	1
"AC186683.3_FG004"	1
"AC186684.4_FG001"	0.0751690155202855
"AC186684.4_FG005"	1
"AC186689.3_FG001"	1
"AC186691.4_FG003"	1
"AC186691.4_FG006"	1
"AC186691.4_FG009"	0.414132168405146
"AC186743.4_FG003"	1
"AC186743.4_FG011"	1
"AC186744.4_FG002"	1
"AC186780.4_FG001"	1
"AC186781.4_FG006"	1
"AC186782.4_FG001"	1
"AC186782.4_FG003"	1
"AC186783.3_FG002"	1
"AC186783.3_FG003"	1
"AC186785.4_FG002"	1
"AC186789.4_FG001"	1
"AC186792.3_FG002"	1
"AC186798.2_FG002"	1
"AC186800.3_FG002"	1
"AC186800.3_FG005"	1
"AC186802.4_FG002"	1
"AC186805.5_FG005"	1
"AC186807.4_FG002"	1
"AC186808.4_FG004"	1
"AC186809.3_FG003"	1
"AC186811.3_FG003"	1
"AC186815.3_FG002"	1
"AC186815.3_FG003"	1
"AC186818.3_FG003"	1
"AC186819.3_FG004"	1
"AC186828.3_FG001"	1
"AC186831.3_FG002"	1
"AC186845.4_FG009"	1
"AC186862.2_FG001"	1
"AC186884.3_FG005"	0.552313034563379
"AC186885.3_FG003"	1
"AC186887.4_FG002"	1
"AC186888.2_FG006"	1
"AC186891.3_FG004"	1
"AC186891.3_FG005"	1
"AC186893.4_FG004"	1
"AC186894.3_FG002"	1
"AC186897.4_FG005"	1
"AC186897.4_FG006"	1
"AC186897.4_FG009"	0.731526141194842
"AC186897.4_FG016"	1
"AC186902.4_FG001"	0.697603894350517
"AC186902.4_FG002"	1
"AC186902.4_FG006"	1
"AC186902.4_FG009"	1
"AC186904.4_FG006"	1
"AC186904.4_FG007"	1
"AC186905.3_FG013"	1
"AC187032.5_FG003"	1
